"V1","COW","SIPRI","COW2","cepii","ID"
"FMLN (El Salvador)*",0,"FMLN (El Salvador)*",0,"0",230
"GUNT (Chad)*",0,"GUNT (Chad)*",0,"0",231
"Hamas (Palestine)*",0,"Hamas (Palestine)*",0,"0",232
"Hezbollah (Lebanon)*",0,"Hezbollah (Lebanon)*",0,"0",233
"Khmer Rouge (Cambodia)*",0,"Khmer Rouge (Cambodia)*",0,"0",234
"Lebanon Palestinian rebels*",0,"Lebanon Palestinian rebels*",0,"0",235
"LF (Lebanon)*",0,"LF (Lebanon)*",0,"0",236
"LTTE (Sri Lanka)*",0,"LTTE (Sri Lanka)*",0,"0",237
"MPLA (Portugal)*",0,"MPLA (Portugal)*",0,"0",238
"MTA (Myanmar)*",0,"MTA (Myanmar)*",0,"0",239
"Mujahedin (Afghanistan)*",0,"Mujahedin (Afghanistan)*",0,"0",240
"NATO**",0,"NATO**",0,"0",241
"Northern Alliance (Afghanistan)*",0,"Northern Alliance (Afghanistan)*",0,"0",242
"PAIGC (Portugal)*",0,"PAIGC (Portugal)*",0,"0",243
"Pathet Lao (Laos)*",0,"Pathet Lao (Laos)*",0,"0",244
"PKK (Turkey)*",0,"PKK (Turkey)*",0,"0",245
"PLO (Israel)*",0,"PLO (Israel)*",0,"0",246
"Provisional IRA (UK)*",0,"Provisional IRA (UK)*",0,"0",247
"RUI (Sierra Leone)*",0,"RUI (Sierra Leone)*",0,"0",248
"SLA (Lebanon)*",0,"SLA (Lebanon)*",0,"0",249
"Southern rebels (Yemen)*",0,"Southern rebels (Yemen)*",0,"0",250
"SPLA (Sudan)*",0,"SPLA (Sudan)*",0,"0",251
"Syria rebels*",0,"Syria rebels*",0,"0",252
"UNITA (Angola)*",0,"UNITA (Angola)*",0,"0",253
"United Nations**",0,"United Nations**",0,"0",254
"Viet Cong (South Vietnam)*",0,"Viet Cong (South Vietnam)*",0,"0",255
"ZAPU (Zimbabwe)*",0,"ZAPU (Zimbabwe)*",0,"0",256
"Unknown Country",0,"Unknown country",0,"0",257
